epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.75512,0,52.5016,0,0,0,0,0,0,47.1701,0,4e-05,4e-05,4e-05
2,8.95641,0,50.6903,0,0,0,0,0,0,47.207,0,9.802e-05,9.802e-05,9.802e-05
3,13.1319,0,49.7915,0,0,0,0,0,0,47.2056,0,0.000153664,0.000153664,0.000153664
4,17.3113,0,48.518,0,0,0,0,0,0,47.2086,0,0.000206932,0.000206932,0.000206932
5,21.4587,0,47.388,0,0,0,0,0,0,47.1973,0,0.000257824,0.000257824,0.000257824
