epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,179.337,1.507,1.41625,2.14953,0.51351,0.64937,0.51987,0.33722,1.26683,2.99315,2.20113,0.000990365,0.000990365,0.000990365
43,182.178,1.45146,1.37787,2.11501,0.57259,0.70716,0.70533,0.47465,1.2512,1.38179,2.2356,0.000973861,0.000973861,0.000973861
44,184.976,1.47315,1.35924,2.12603,0.63423,0.79341,0.69361,0.51579,1.06067,1.12508,2.00128,0.000957358,0.000957358,0.000957358
45,187.831,1.39613,1.28771,2.06202,0.68708,0.83553,0.72372,0.54381,1.07642,1.2685,1.93962,0.000940855,0.000940855,0.000940855
46,190.727,1.36849,1.20823,2.02366,0.67493,0.95585,0.7354,0.52419,1.06496,1.15285,1.95263,0.000924352,0.000924352,0.000924352
47,193.584,1.32509,1.22298,2.04799,0.74273,0.92994,0.76022,0.55211,1.07015,1.17967,1.94203,0.000907848,0.000907848,0.000907848
48,196.454,1.30394,1.17924,2.01136,0.68264,0.94231,0.74886,0.51295,1.16177,1.16873,2.07388,0.000891345,0.000891345,0.000891345
49,199.265,1.39588,1.21272,2.04664,0.7037,0.90385,0.73763,0.55193,1.01334,1.15111,1.88687,0.000874842,0.000874842,0.000874842
50,202.046,1.30939,1.19039,1.95941,0.71465,0.90999,0.76331,0.49622,1.18354,1.22931,2.01993,0.000858338,0.000858338,0.000858338
51,204.919,1.25952,1.10925,1.92862,0.73808,0.84146,0.72513,0.51046,1.0954,1.24637,1.84127,0.000841835,0.000841835,0.000841835
52,207.77,1.46053,1.17463,2.00045,0.74875,0.89945,0.73619,0.56164,0.91965,1.14936,1.82549,0.000825332,0.000825332,0.000825332
53,210.681,1.26828,1.08555,1.94629,0.71833,0.8543,0.72631,0.50482,1.09786,1.09472,1.93446,0.000808828,0.000808828,0.000808828
54,213.526,1.21644,1.07245,1.94402,0.73396,0.9522,0.75697,0.5512,0.99707,1.32522,1.77316,0.000792325,0.000792325,0.000792325
55,216.33,1.24548,1.09793,1.89777,0.76503,0.97198,0.7591,0.56123,1.06656,1.07307,1.88507,0.000775822,0.000775822,0.000775822
56,219.188,1.2152,1.03684,1.83893,0.68508,0.80065,0.77256,0.58574,0.93901,1.43372,1.81386,0.000759318,0.000759318,0.000759318
57,222.085,1.22881,1.04112,1.84532,0.72857,0.94251,0.75921,0.60161,0.88626,1.29818,1.74074,0.000742815,0.000742815,0.000742815
58,224.952,1.19532,0.9944,1.8469,0.76857,0.94613,0.75978,0.59846,0.90019,1.30292,1.76633,0.000726312,0.000726312,0.000726312
59,227.752,1.13532,0.96201,1.79094,0.73246,0.93791,0.74537,0.60492,0.80613,1.18548,1.68486,0.000709809,0.000709809,0.000709809
