epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,617.182,0.62366,0.5136,1.14131,0.96769,0.98057,0.99184,0.87832,0.47327,0.34728,0.9706,0.000742625,0.000742625,0.000742625
43,631.803,0.61561,0.4941,1.13426,0.93997,0.98078,0.98887,0.86427,0.50441,0.37955,0.98811,0.00073025,0.00073025,0.00073025
44,646.271,0.6265,0.50862,1.14511,0.98504,0.98248,0.99124,0.85348,0.48311,0.36121,0.96805,0.000717875,0.000717875,0.000717875
45,660.808,0.60714,0.48211,1.12107,0.9747,0.98022,0.99031,0.87575,0.47467,0.35937,0.96647,0.0007055,0.0007055,0.0007055
46,675.446,0.61257,0.49009,1.11241,0.97586,0.98817,0.99123,0.87172,0.45421,0.33416,0.94224,0.000693125,0.000693125,0.000693125
47,690.01,0.61035,0.49298,1.12627,0.97951,0.97465,0.99053,0.87432,0.45606,0.36772,0.95494,0.00068075,0.00068075,0.00068075
48,704.594,0.58704,0.46542,1.10247,0.97677,0.98207,0.99181,0.88584,0.44562,0.33028,0.94317,0.000668375,0.000668375,0.000668375
49,719.149,0.58874,0.46893,1.11128,0.97762,0.9825,0.99159,0.87787,0.44983,0.3222,0.94019,0.000656,0.000656,0.000656
50,733.723,0.57722,0.45195,1.09535,0.97628,0.98021,0.99191,0.88967,0.44276,0.33964,0.93757,0.000643625,0.000643625,0.000643625
51,748.308,0.56351,0.45064,1.08309,0.97603,0.98637,0.99239,0.88515,0.45045,0.33092,0.93534,0.00063125,0.00063125,0.00063125
52,762.869,0.58381,0.45417,1.09987,0.98786,0.97576,0.99234,0.89175,0.43765,0.31938,0.93221,0.000618875,0.000618875,0.000618875
53,777.497,0.56388,0.45299,1.08444,0.98427,0.98023,0.99189,0.89989,0.42713,0.30499,0.92502,0.0006065,0.0006065,0.0006065
54,792.181,0.56919,0.44315,1.08671,0.98077,0.9793,0.99274,0.89059,0.42642,0.30676,0.92997,0.000594125,0.000594125,0.000594125
55,806.799,0.5647,0.4348,1.08255,0.9826,0.99178,0.99239,0.88295,0.43194,0.30057,0.92592,0.00058175,0.00058175,0.00058175
56,821.421,0.57152,0.44298,1.08315,0.98952,0.98064,0.99196,0.89255,0.43212,0.33417,0.92798,0.000569375,0.000569375,0.000569375
57,835.969,0.54873,0.44119,1.08188,0.98043,0.98316,0.99292,0.89182,0.42141,0.30231,0.91877,0.000557,0.000557,0.000557
58,850.557,0.56514,0.43254,1.08466,0.97951,0.98875,0.99083,0.9021,0.41274,0.29775,0.91008,0.000544625,0.000544625,0.000544625
59,865.213,0.55555,0.42268,1.06974,0.96434,0.99231,0.99174,0.88791,0.42123,0.32401,0.91141,0.00053225,0.00053225,0.00053225
60,879.8,0.54879,0.43053,1.06667,0.99129,0.98512,0.9921,0.90466,0.41368,0.28992,0.91198,0.000519875,0.000519875,0.000519875
61,894.435,0.5429,0.4212,1.06467,0.98371,0.97893,0.99173,0.89754,0.41457,0.30143,0.91187,0.0005075,0.0005075,0.0005075
62,908.98,0.53479,0.41143,1.05904,0.99046,0.975,0.99194,0.90037,0.40232,0.29438,0.9018,0.000495125,0.000495125,0.000495125
63,923.606,0.53837,0.41297,1.06365,0.99193,0.98155,0.99313,0.91515,0.41445,0.2907,0.90929,0.00048275,0.00048275,0.00048275
64,938.171,0.53411,0.41179,1.06454,0.98362,0.98766,0.99239,0.9112,0.39575,0.28554,0.90196,0.000470375,0.000470375,0.000470375
65,952.793,0.52588,0.40025,1.06416,0.98263,0.98456,0.99155,0.90283,0.40746,0.29959,0.90667,0.000458,0.000458,0.000458
66,967.393,0.51866,0.40065,1.04718,0.97774,0.98664,0.99261,0.91124,0.39221,0.28569,0.90031,0.000445625,0.000445625,0.000445625
67,981.974,0.512,0.3902,1.03646,0.98705,0.98561,0.99301,0.91927,0.3866,0.27238,0.89291,0.00043325,0.00043325,0.00043325
68,996.654,0.51328,0.3869,1.0459,0.98474,0.98878,0.99299,0.91443,0.38404,0.27656,0.89428,0.000420875,0.000420875,0.000420875
69,1011.25,0.51275,0.38862,1.04279,0.99164,0.97968,0.99352,0.91077,0.38792,0.28403,0.89364,0.0004085,0.0004085,0.0004085
70,1025.86,0.50497,0.37759,1.03041,0.98473,0.98603,0.99242,0.91967,0.37907,0.27121,0.88908,0.000396125,0.000396125,0.000396125
71,1040.49,0.50129,0.38116,1.03741,0.99144,0.97833,0.99181,0.91484,0.38857,0.27368,0.89285,0.00038375,0.00038375,0.00038375
72,1055.07,0.50764,0.38587,1.04148,0.98748,0.98686,0.9924,0.91365,0.39361,0.26798,0.89265,0.000371375,0.000371375,0.000371375
73,1069.65,0.50611,0.37693,1.03483,0.99118,0.98338,0.99299,0.91132,0.38027,0.26816,0.88862,0.000359,0.000359,0.000359
74,1084.25,0.50046,0.38486,1.0386,0.9869,0.98262,0.99312,0.91474,0.37463,0.27196,0.88504,0.000346625,0.000346625,0.000346625
75,1098.79,0.5008,0.37845,1.03541,0.99137,0.98286,0.99252,0.90748,0.39271,0.2687,0.89512,0.00033425,0.00033425,0.00033425
76,1113.34,0.49302,0.37148,1.02414,0.99002,0.98386,0.99289,0.91995,0.37819,0.26678,0.8865,0.000321875,0.000321875,0.000321875
77,1127.91,0.50266,0.37636,1.03111,0.98596,0.98983,0.993,0.91933,0.37921,0.2674,0.88371,0.0003095,0.0003095,0.0003095
78,1142.51,0.49412,0.37264,1.03307,0.99083,0.98496,0.99193,0.91121,0.37942,0.26428,0.88182,0.000297125,0.000297125,0.000297125
79,1157.05,0.47453,0.35721,1.01526,0.97734,0.99397,0.99155,0.91646,0.36529,0.25721,0.87748,0.00028475,0.00028475,0.00028475
80,1171.66,0.48866,0.36436,1.01494,0.98691,0.98526,0.99335,0.91758,0.37653,0.259,0.88547,0.000272375,0.000272375,0.000272375
81,1186.25,0.48252,0.35484,1.01739,0.99352,0.9851,0.99288,0.92481,0.35882,0.24885,0.8752,0.00026,0.00026,0.00026
82,1200.92,0.46623,0.35494,1.01088,0.99272,0.98333,0.99273,0.92356,0.35714,0.2508,0.87267,0.000247625,0.000247625,0.000247625
83,1215.49,0.47884,0.36109,1.01446,0.98857,0.98384,0.99276,0.91062,0.3648,0.25406,0.8789,0.00023525,0.00023525,0.00023525
84,1229.98,0.46841,0.35365,1.01117,0.99164,0.98599,0.9918,0.92309,0.35376,0.2488,0.87069,0.000222875,0.000222875,0.000222875
85,1244.59,0.47399,0.35448,1.01055,0.98934,0.98582,0.99201,0.92603,0.34826,0.24483,0.8672,0.0002105,0.0002105,0.0002105
86,1259.28,0.4621,0.34516,1.00431,0.98723,0.98638,0.99232,0.92592,0.34232,0.23958,0.86564,0.000198125,0.000198125,0.000198125
87,1273.91,0.4665,0.34845,1.01504,0.9899,0.98732,0.99299,0.92807,0.34618,0.24023,0.86464,0.00018575,0.00018575,0.00018575
88,1288.59,0.4572,0.34157,1.00519,0.99244,0.9831,0.99192,0.92369,0.3496,0.2419,0.86734,0.000173375,0.000173375,0.000173375
89,1303.18,0.46556,0.34259,1.00747,0.98728,0.98648,0.99311,0.92527,0.35193,0.24619,0.86713,0.000161,0.000161,0.000161
90,1317.78,0.45119,0.33253,1.00059,0.98902,0.98596,0.99241,0.93225,0.34065,0.23766,0.86263,0.000148625,0.000148625,0.000148625
91,1365.93,0.44764,0.3178,0.96433,0.99194,0.98873,0.99298,0.92548,0.35505,0.25043,0.86744,0.00013625,0.00013625,0.00013625
92,1380.37,0.42764,0.30174,0.94724,0.98901,0.99434,0.99271,0.92504,0.34826,0.24261,0.86271,0.000123875,0.000123875,0.000123875
93,1394.75,0.41693,0.29843,0.94577,0.98428,0.99541,0.99261,0.93109,0.34536,0.23966,0.86009,0.0001115,0.0001115,0.0001115
94,1409.16,0.42038,0.29431,0.93999,0.99192,0.98793,0.9917,0.92794,0.34045,0.23579,0.85852,9.9125e-05,9.9125e-05,9.9125e-05
95,1423.54,0.42183,0.29834,0.93914,0.99039,0.99357,0.99185,0.92996,0.33629,0.23486,0.85584,8.675e-05,8.675e-05,8.675e-05
96,1437.95,0.40545,0.28873,0.93838,0.9907,0.98832,0.99211,0.93147,0.33163,0.23109,0.85366,7.4375e-05,7.4375e-05,7.4375e-05
97,1452.3,0.40378,0.28587,0.93783,0.98907,0.98969,0.99297,0.93949,0.33205,0.22975,0.85393,6.2e-05,6.2e-05,6.2e-05
98,1466.73,0.39991,0.28234,0.93598,0.99044,0.9927,0.9928,0.93881,0.32805,0.22527,0.85194,4.9625e-05,4.9625e-05,4.9625e-05
99,1481.08,0.39593,0.27653,0.92177,0.99035,0.99211,0.99282,0.94109,0.32949,0.22703,0.85207,3.725e-05,3.725e-05,3.725e-05
100,1495.47,0.39563,0.27816,0.93379,0.98978,0.99432,0.99274,0.93967,0.32559,0.22418,0.85044,2.4875e-05,2.4875e-05,2.4875e-05
