epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,3446.62,1.06145,0.83881,1.67099,1,0.96309,0.99221,0.76728,0.95512,0.8617,1.77674,0.0011486,0.0011486,0.0011486
45,3526.45,1.10847,0.88501,1.69749,0.99759,0.94595,0.98618,0.80393,0.92694,0.8963,1.77168,0.0011288,0.0011288,0.0011288
46,3606.96,1.00014,0.83267,1.59545,0.98212,0.97297,0.98951,0.72108,1.13916,1.06644,1.93587,0.001109,0.001109,0.001109
47,3684.78,1.11738,0.91469,1.71264,0.9823,0.94595,0.97071,0.80809,0.83692,0.97244,1.70652,0.0010892,0.0010892,0.0010892
48,3763.1,1.05516,0.82701,1.59985,0.98701,0.91892,0.97738,0.75173,0.94137,0.91451,1.76194,0.0010694,0.0010694,0.0010694
49,3843.22,1.02647,0.82887,1.658,0.94365,1,0.98106,0.77098,0.92745,0.95076,1.73084,0.0010496,0.0010496,0.0010496
50,3924.6,1.01017,0.80014,1.57555,0.99529,0.94595,0.98321,0.77339,0.9155,0.87744,1.65156,0.0010298,0.0010298,0.0010298
51,4002.33,1.03221,0.78096,1.54265,1,0.96731,0.99305,0.82629,0.75851,0.76428,1.49544,0.00101,0.00101,0.00101
52,4078.21,1.0016,0.79884,1.58757,0.97344,0.9907,0.99079,0.83556,0.76942,0.79001,1.54115,0.0009902,0.0009902,0.0009902
53,4159.04,0.88757,0.70761,1.44795,1,0.99601,0.995,0.78084,0.83395,0.78057,1.60862,0.0009704,0.0009704,0.0009704
54,4240.51,0.93695,0.72027,1.50867,1,0.94526,0.99224,0.77277,0.87778,0.81902,1.63791,0.0009506,0.0009506,0.0009506
55,4321.68,0.92738,0.70843,1.52634,0.94406,0.97297,0.99034,0.81933,0.75336,0.80468,1.53994,0.0009308,0.0009308,0.0009308
56,4399.45,0.99429,0.71489,1.52779,0.99251,0.94595,0.98567,0.76479,0.90116,1.0177,1.72818,0.000911,0.000911,0.000911
57,4479.1,0.98448,0.72346,1.58842,0.97201,0.94595,0.99031,0.82923,0.77919,1.64878,1.54987,0.0008912,0.0008912,0.0008912
58,4558.58,0.97327,0.7272,1.49038,0.96313,1,0.995,0.79486,0.82298,2.48671,1.63753,0.0008714,0.0008714,0.0008714
59,4636.71,0.97699,0.71194,1.58452,0.97354,0.99451,0.99447,0.81311,0.81474,1.07886,1.57524,0.0008516,0.0008516,0.0008516
60,4712.18,0.89635,0.66718,1.46168,0.97364,0.99845,0.99447,0.81151,0.79219,0.8862,1.58011,0.0008318,0.0008318,0.0008318
61,4789.5,0.89721,0.6621,1.45837,0.97354,0.99448,0.99447,0.83188,0.78901,0.93504,1.50158,0.000812,0.000812,0.000812
62,4869.13,0.91743,0.67602,1.46871,0.9963,0.97297,0.99447,0.84379,0.70884,0.65052,1.50473,0.0007922,0.0007922,0.0007922
63,4948.08,0.93171,0.68712,1.50378,0.99355,1,0.995,0.83986,0.66836,0.65176,1.46601,0.0007724,0.0007724,0.0007724
64,5027.76,0.91683,0.67927,1.49566,0.99635,0.97297,0.99262,0.79758,0.71633,0.71192,1.56511,0.0007526,0.0007526,0.0007526
65,5107.88,0.85386,0.64803,1.43549,0.99894,0.97297,0.99305,0.84688,0.6563,0.67334,1.43832,0.0007328,0.0007328,0.0007328
66,5186.37,0.87657,0.63243,1.44939,0.99697,1,0.995,0.83154,0.64395,0.71212,1.49893,0.000713,0.000713,0.000713
67,5265.16,0.82951,0.62599,1.42503,1,0.97468,0.995,0.86717,0.59758,0.67061,1.39294,0.0006932,0.0006932,0.0006932
68,5343.2,0.8387,0.6295,1.41764,1,0.94569,0.99109,0.85467,0.62102,0.67772,1.39323,0.0006734,0.0006734,0.0006734
69,5419.77,0.84507,0.60667,1.42649,1,0.99583,0.995,0.8687,0.6509,0.66548,1.39814,0.0006536,0.0006536,0.0006536
70,5497.05,0.84433,0.60633,1.35837,0.99886,1,0.995,0.84067,0.70143,0.68045,1.45731,0.0006338,0.0006338,0.0006338
71,5576,0.85022,0.62961,1.41762,0.99869,0.97297,0.99447,0.8701,0.64723,0.71,1.41587,0.000614,0.000614,0.000614
72,5653.27,0.85671,0.59171,1.38188,0.97355,0.99499,0.99368,0.82091,0.69908,0.7192,1.48924,0.0005942,0.0005942,0.0005942
73,5733.9,0.85928,0.62531,1.39191,0.97978,0.97297,0.99447,0.84744,0.65978,0.77858,1.38541,0.0005744,0.0005744,0.0005744
74,5811.09,0.77727,0.56564,1.34918,0.94786,0.97297,0.98843,0.85711,0.64456,0.84805,1.3588,0.0005546,0.0005546,0.0005546
75,5889.56,0.81554,0.60307,1.42111,0.94257,0.97297,0.99034,0.86496,0.58431,0.58722,1.29912,0.0005348,0.0005348,0.0005348
76,5965.58,0.79485,0.5883,1.33401,1,0.99946,0.995,0.86391,0.63202,0.60641,1.37623,0.000515,0.000515,0.000515
77,6045.99,0.81543,0.58057,1.40154,1,0.99437,0.995,0.87157,0.59397,0.64933,1.30034,0.0004952,0.0004952,0.0004952
78,6121.62,0.85046,0.60828,1.39624,0.99701,1,0.995,0.86441,0.61665,0.59114,1.29454,0.0004754,0.0004754,0.0004754
79,6198.51,0.76979,0.54771,1.29836,1,0.99712,0.995,0.8219,0.75076,0.56366,1.45972,0.0004556,0.0004556,0.0004556
80,6274.14,0.84947,0.56615,1.41263,1,0.9956,0.995,0.88151,0.57937,0.53325,1.32469,0.0004358,0.0004358,0.0004358
81,6354.59,0.79565,0.57266,1.35222,1,0.99697,0.995,0.88974,0.61371,0.57244,1.30552,0.000416,0.000416,0.000416
82,6432.46,0.76996,0.53734,1.317,1,0.99556,0.995,0.88597,0.57876,0.55631,1.32552,0.0003962,0.0003962,0.0003962
83,6507.24,0.77786,0.55502,1.35927,1,0.99925,0.995,0.89555,0.52797,0.52273,1.29608,0.0003764,0.0003764,0.0003764
84,6587.84,0.77727,0.53976,1.32147,1,0.99889,0.995,0.90954,0.52083,0.53951,1.28515,0.0003566,0.0003566,0.0003566
85,6668.5,0.71852,0.51671,1.30041,0.9984,1,0.995,0.85285,0.67574,0.60459,1.38641,0.0003368,0.0003368,0.0003368
86,6747.36,0.7737,0.53525,1.37785,0.99926,1,0.995,0.89133,0.54393,0.61146,1.27048,0.000317,0.000317,0.000317
87,6823.98,0.74065,0.51571,1.26981,1,0.99648,0.995,0.89031,0.58687,0.60928,1.30147,0.0002972,0.0002972,0.0002972
88,6902.96,0.76274,0.52336,1.31487,1,0.98177,0.995,0.85185,0.65096,0.56775,1.37726,0.0002774,0.0002774,0.0002774
89,6975.97,0.78466,0.57078,1.35922,1,0.99868,0.995,0.88543,0.55109,0.52437,1.27435,0.0002576,0.0002576,0.0002576
90,7047.99,0.80311,0.56038,1.31394,0.9977,1,0.995,0.87811,0.57213,0.51372,1.28028,0.0002378,0.0002378,0.0002378
91,7123.68,0.77066,0.59665,1.34579,1,0.99883,0.995,0.87287,0.56373,0.50209,1.28768,0.000218,0.000218,0.000218
92,7203.4,0.7107,0.54958,1.29527,0.99661,1,0.995,0.89758,0.52579,0.486,1.218,0.0001982,0.0001982,0.0001982
93,7279.68,0.71412,0.56035,1.27866,0.99609,1,0.995,0.89492,0.52504,0.48018,1.22272,0.0001784,0.0001784,0.0001784
94,7359.13,0.67143,0.52255,1.24163,1,0.99875,0.995,0.86906,0.55972,0.49908,1.29696,0.0001586,0.0001586,0.0001586
95,7438.44,0.68202,0.53247,1.27869,1,0.99748,0.995,0.87972,0.53658,0.51557,1.25798,0.0001388,0.0001388,0.0001388
96,7514.52,0.6435,0.49263,1.20324,0.99744,1,0.995,0.89778,0.49727,0.48438,1.20557,0.000119,0.000119,0.000119
97,7594.09,0.66791,0.50815,1.28514,0.99448,1,0.995,0.89531,0.49384,0.45323,1.20258,9.92e-05,9.92e-05,9.92e-05
98,7674.1,0.67766,0.52134,1.27273,0.99303,1,0.995,0.87572,0.51837,0.48238,1.23717,7.94e-05,7.94e-05,7.94e-05
99,7751.2,0.66878,0.51241,1.25132,0.99549,1,0.995,0.87098,0.54776,0.49168,1.25801,5.96e-05,5.96e-05,5.96e-05
100,7830.48,0.6231,0.47549,1.22694,0.99656,1,0.995,0.86994,0.56197,0.49269,1.2656,3.98e-05,3.98e-05,3.98e-05
