epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,168.534,1.14178,1.00987,1.70284,0.88591,0.71667,0.81364,0.59706,0.84326,0.75895,1.43694,0.000848969,0.000848969,0.000848969
43,172.422,1.11054,0.95495,1.6825,0.74605,0.96687,0.90589,0.62424,0.80836,0.71819,1.43897,0.000834822,0.000834822,0.000834822
44,176.356,1.04444,0.89043,1.60354,0.94045,0.72906,0.89586,0.6131,0.87396,0.73987,1.48236,0.000820675,0.000820675,0.000820675
45,180.228,1.10823,0.98119,1.68973,0.9782,0.82602,0.91884,0.59704,0.90169,0.75458,1.49421,0.000806528,0.000806528,0.000806528
46,184.091,1.10808,0.94358,1.6596,0.94759,0.86828,0.91956,0.62734,0.91155,0.71908,1.47278,0.00079238,0.00079238,0.00079238
47,188.012,1.08517,0.94838,1.64678,0.88189,0.96127,0.97549,0.63549,0.87385,0.72506,1.46234,0.000778233,0.000778233,0.000778233
48,191.976,1.04002,0.91909,1.61401,0.95819,0.93375,0.98684,0.68195,0.80855,0.68117,1.40435,0.000764086,0.000764086,0.000764086
49,195.94,0.99655,0.85253,1.56143,0.99036,0.87267,0.96959,0.69898,0.7519,0.64356,1.36172,0.000749939,0.000749939,0.000749939
50,199.919,0.98568,0.87865,1.54803,0.98631,0.87568,0.95875,0.70656,0.76209,0.65046,1.32392,0.000735792,0.000735792,0.000735792
51,203.835,1.00314,0.87065,1.56264,0.87701,0.93227,0.91549,0.65549,0.75728,0.6806,1.37921,0.000721645,0.000721645,0.000721645
52,207.701,0.99416,0.86192,1.56433,0.78531,0.91567,0.86338,0.65203,0.73778,0.69998,1.32986,0.000707498,0.000707498,0.000707498
53,211.572,0.97468,0.84322,1.54949,0.7931,0.91675,0.9172,0.70768,0.6956,0.67128,1.28345,0.000693351,0.000693351,0.000693351
54,215.436,0.97724,0.84599,1.54853,0.88357,0.87444,0.92736,0.72296,0.70911,0.66176,1.30111,0.000679204,0.000679204,0.000679204
55,219.373,0.94799,0.81341,1.49215,0.78595,0.9875,0.9115,0.6787,0.79075,0.68394,1.37334,0.000665057,0.000665057,0.000665057
56,223.216,0.97029,0.83558,1.54313,0.88947,0.98333,0.97479,0.697,0.77418,0.72253,1.32854,0.000650909,0.000650909,0.000650909
57,227.056,0.95965,0.80635,1.53089,0.91774,0.93164,0.97601,0.68527,0.73968,0.67937,1.30612,0.000636762,0.000636762,0.000636762
58,230.92,0.93489,0.7751,1.49726,0.86935,0.975,0.96371,0.68251,0.68583,0.62666,1.28574,0.000622615,0.000622615,0.000622615
59,234.744,0.8989,0.76518,1.48362,0.9082,0.98413,0.96698,0.71432,0.66725,0.61012,1.26326,0.000608468,0.000608468,0.000608468
60,238.592,0.8899,0.73577,1.45221,0.96985,0.8671,0.95925,0.70757,0.73993,0.61202,1.33331,0.000594321,0.000594321,0.000594321
61,242.424,0.89533,0.73705,1.44998,0.92775,0.9749,0.97984,0.72953,0.71875,0.57253,1.29769,0.000580174,0.000580174,0.000580174
62,246.317,0.88996,0.7343,1.44882,0.9351,0.97408,0.97928,0.72476,0.68592,0.57489,1.26932,0.000566027,0.000566027,0.000566027
63,250.144,0.86258,0.73094,1.43931,0.87566,0.96575,0.95915,0.72976,0.68941,0.57432,1.27662,0.00055188,0.00055188,0.00055188
64,253.971,0.88,0.74259,1.43003,0.95907,0.84721,0.95999,0.72177,0.663,0.53113,1.2567,0.000537733,0.000537733,0.000537733
65,257.8,0.89671,0.74542,1.46621,0.90738,0.95234,0.95549,0.73745,0.67837,0.54523,1.25379,0.000523586,0.000523586,0.000523586
66,261.677,0.84867,0.70703,1.41704,0.92274,0.97083,0.97731,0.73106,0.67934,0.55007,1.25838,0.000509438,0.000509438,0.000509438
67,265.479,0.83099,0.67817,1.40858,0.90916,0.95248,0.96255,0.7138,0.63385,0.55447,1.2232,0.000495291,0.000495291,0.000495291
68,269.311,0.85126,0.69513,1.41731,0.91815,0.98022,0.9566,0.71264,0.63951,0.51657,1.2144,0.000481144,0.000481144,0.000481144
69,273.109,0.84871,0.69092,1.41101,0.91708,0.97234,0.9692,0.72632,0.65888,0.52626,1.2544,0.000466997,0.000466997,0.000466997
70,276.932,0.82617,0.67249,1.38311,0.88438,0.99167,0.95506,0.75734,0.58786,0.49529,1.19671,0.00045285,0.00045285,0.00045285
71,280.81,0.80941,0.67343,1.38847,0.90971,0.98158,0.98077,0.75478,0.65252,0.51234,1.2455,0.000438703,0.000438703,0.000438703
72,284.715,0.82773,0.68099,1.40391,0.9772,0.97895,0.99174,0.73855,0.58859,0.48014,1.1845,0.000424556,0.000424556,0.000424556
73,288.551,0.80392,0.66811,1.36373,0.90908,0.98863,0.98141,0.7466,0.58601,0.47188,1.18219,0.000410409,0.000410409,0.000410409
74,292.349,0.79913,0.65259,1.35974,0.88704,0.95261,0.95802,0.72475,0.62571,0.50743,1.18997,0.000396262,0.000396262,0.000396262
75,296.173,0.79368,0.64496,1.36135,0.84543,0.96431,0.96656,0.74288,0.59682,0.5017,1.19004,0.000382115,0.000382115,0.000382115
76,299.984,0.82721,0.6651,1.40578,0.88761,0.96667,0.97213,0.74832,0.6014,0.49292,1.19338,0.000367967,0.000367967,0.000367967
77,303.794,0.77798,0.64189,1.34624,0.89294,0.97522,0.97216,0.77249,0.57952,0.4722,1.17959,0.00035382,0.00035382,0.00035382
78,307.649,0.77937,0.63174,1.35435,0.92011,0.85987,0.96549,0.7206,0.58974,0.48108,1.17911,0.000339673,0.000339673,0.000339673
79,311.477,0.75666,0.61986,1.33689,0.88227,0.98444,0.95435,0.74834,0.573,0.45546,1.1541,0.000325526,0.000325526,0.000325526
80,315.261,0.76167,0.61833,1.33174,0.85422,0.91449,0.93716,0.73358,0.58997,0.45305,1.16482,0.000311379,0.000311379,0.000311379
81,319.042,0.76884,0.61167,1.33244,0.91346,0.98697,0.97094,0.74692,0.53999,0.44245,1.14076,0.000297232,0.000297232,0.000297232
82,322.84,0.7868,0.62549,1.35707,0.85871,0.96896,0.9538,0.75484,0.57054,0.44963,1.14678,0.000283085,0.000283085,0.000283085
83,326.613,0.74965,0.61411,1.33126,0.94428,0.91369,0.97287,0.77333,0.54484,0.43403,1.14087,0.000268938,0.000268938,0.000268938
84,330.45,0.74478,0.59809,1.34793,0.91608,0.92184,0.96817,0.76892,0.56697,0.45445,1.13713,0.000254791,0.000254791,0.000254791
85,334.238,0.75268,0.61835,1.33497,0.85703,0.925,0.92785,0.75944,0.55516,0.44211,1.14954,0.000240644,0.000240644,0.000240644
86,338.026,0.74884,0.59523,1.31142,0.91407,0.92382,0.96277,0.74833,0.54552,0.4511,1.13782,0.000226497,0.000226497,0.000226497
87,341.802,0.73866,0.59401,1.31666,0.88516,0.98987,0.95945,0.74193,0.54529,0.42663,1.13629,0.000212349,0.000212349,0.000212349
88,345.629,0.73545,0.58492,1.31729,0.88861,0.99167,0.96065,0.74277,0.53321,0.42147,1.12255,0.000198202,0.000198202,0.000198202
89,349.475,0.72871,0.57592,1.3045,0.92491,0.92083,0.97506,0.75328,0.5584,0.42378,1.13186,0.000184055,0.000184055,0.000184055
90,353.273,0.75206,0.59388,1.31637,0.88815,0.9875,0.97361,0.75515,0.55823,0.41627,1.13446,0.000169908,0.000169908,0.000169908
91,388.982,0.72904,0.63965,1.28738,0.88688,0.98227,0.97392,0.76689,0.59102,0.43347,1.13819,0.000155761,0.000155761,0.000155761
92,392.707,0.72723,0.60292,1.2696,0.89464,0.9875,0.96007,0.74607,0.62933,0.45044,1.15171,0.000141614,0.000141614,0.000141614
93,396.42,0.70628,0.58456,1.2594,0.88641,0.99167,0.96054,0.77115,0.5239,0.40546,1.08491,0.000127467,0.000127467,0.000127467
94,400.112,0.64782,0.52537,1.21377,0.99434,0.96639,0.99328,0.78313,0.52311,0.39134,1.07522,0.00011332,0.00011332,0.00011332
95,403.885,0.70532,0.55583,1.27225,0.93173,0.99116,0.99375,0.77333,0.53514,0.40068,1.08698,9.91726e-05,9.91726e-05,9.91726e-05
96,407.606,0.66603,0.53322,1.2207,0.98299,0.99167,0.99394,0.79167,0.51072,0.39395,1.07959,8.50255e-05,8.50255e-05,8.50255e-05
97,411.396,0.67818,0.54665,1.22192,0.99048,0.99167,0.99385,0.7861,0.51112,0.39459,1.07688,7.08784e-05,7.08784e-05,7.08784e-05
98,415.084,0.62522,0.51073,1.19971,0.99442,0.97799,0.99358,0.78053,0.51329,0.38995,1.074,5.67313e-05,5.67313e-05,5.67313e-05
99,418.756,0.63142,0.51064,1.2077,0.92944,0.99167,0.98232,0.78048,0.49936,0.38538,1.06601,4.25842e-05,4.25842e-05,4.25842e-05
100,422.496,0.64677,0.5086,1.20753,0.92875,0.99167,0.98226,0.80035,0.49124,0.38473,1.05938,2.84371e-05,2.84371e-05,2.84371e-05
